city,longitude,latitude
Abington,-75.13280577,40.12461305
Abington,-75.118793,40.119112
Abington,-75.1189178,40.1190304
Abington,-75.11427004,40.13672793
Abington,-75.1217458,40.1150951
Abington,-75.1167098,40.1270789
Abington,-75.1132549,40.1384684
Abington,-75.12822,40.129452
Abington,-75.1158053,40.1231556
Abington,-75.1314976,40.1269888
Abington,-75.117823,40.1248371
Abington,-75.093802,40.084963
Abington,-75.11578205,40.1311964
Abington,-75.116683,40.127007
Abington,-75.1169336,40.129672
Abington,-75.11585253,40.13258155
Abington,-75.10440952,40.07389451
Abington,-75.1296594,40.1289112
Abington,-75.1329107,40.1240716
Abington,-75.118188,40.1215968
Abington,-75.1346695,40.12004
Abington,-75.117823,40.12478
Abington,-75.11621,40.12301
Abington,-75.1209932,40.115446
Abington,-75.11592737,40.123346
Abington,-75.11554241,40.13205349
Abington,-75.1173304,40.122468
Abington,-75.1150862,40.132933
Abington,-75.11537947,40.13465357
Abington,-75.1367756,40.123296
Abington,-75.1161734,40.12397533
Abington,-75.1160853,40.1229394
Abington,-75.114302,40.136683
Abington Township,-75.0926421,40.0885697
Affton,-90.35683174,38.52370809
Affton,-90.32260121,38.55341271
Affton,-90.29467151,38.55020018
Affton,-90.3230239,38.5529388
Affton,-90.3210868,38.5651648
Affton,-90.3096754,38.5566171
Affton,-90.32063127,38.55333558
Aldan,-75.2794021,39.9254031
Aldan,-75.2794021,39.9253837
Alloway,-75.360766,39.555717
Alloway,-75.3638237,39.5638299
Alton,-90.1716299,38.920643
Alton,-90.1311499,38.9032424
Alton,-90.1801756,38.8899725
Alton,-90.1698993,38.8887437
Alton,-90.17384604,38.92177474
Alton,-90.169186,38.8930496
Alton,-90.1529731,38.9153656
Alton,-90.18057813,38.88925879
Alton,-90.12893272,38.9058475
Alton,-90.1768261,38.8905235
Alton,-90.183487,38.8902684
Alton,-90.1765174,38.921337
Alton,-90.152269,38.9164571
Alton,-90.1488223,38.9035595
Alton,-90.182926,38.923946
Alton,-90.1085443,38.9220002
Alton,-90.18682033,38.8888296
Alton,-90.1472379,38.9031226
Alton,-90.15250423,38.91497542
Alton,-90.1874219,38.8909771
Alton,-90.17382543,38.92136797
Alton,-90.18610781,38.89599994
Alton,-90.16222335,38.91824976
Alton,-90.1488798,38.9034258
Alton,-90.140185,38.914678
Alton,-90.1743183,38.8892222
Alton,-90.15093267,38.91673066
Alton,-90.1886651,38.8910876
Alton,-90.1719592,38.8886126
Alton,-90.1861957,38.8965488
Alton,-90.16169769,38.91635141
Alton,-90.1624833,38.8882588
Alton,-90.1862033,38.896563
Alton,-90.1871724,38.8913849
Alton,-90.1872205,38.8916648
Alton,-90.1932191,38.9208418
Alton,-90.1491154,38.9027353
Alton,-90.1702,38.9191
Alton,-90.1881632,38.8913935
Alton,-90.1887672,38.8914945
Alton,-90.1526074,38.9145502
Alton,-90.1845302,38.889879
Alton,-90.176442,38.8896057
Alton,-90.1467269,38.9030759
Alton,-90.1965195,38.911221
Alton,-90.1721287,38.92253561
Alton,-90.18455,38.89125
Alton,-90.1623004,38.9162098
Alton,-90.17331,38.921077
Alton,-90.1862656,38.8921471
Alton,-90.15156209,38.91618266
Alton,-90.14844,38.900361
Alton,-90.19604377,38.90912525
Alton,-90.17685,38.888951
Alton,-90.179507,38.92288
Alton,-90.1767686,38.8904785
Alton,-90.1725472,38.919925
Ambler,-75.245701,40.1392027
Ambler,-75.217911,40.156424
Ambler,-75.2136062,40.1582977
Ambler,-75.2240103,40.1539682
Ambler,-75.2149282,40.1596506
Ambler,-75.24461475,40.13922661
Ambler,-75.22569901,40.18086834
Ambler,-75.2455764,40.1397791
Ambler,-75.2230651,40.1708949
Ambler,-75.2260089,40.157836
Ambler,-75.245994,40.139479
Ambler,-75.2210187,40.1548016
Ambler,-75.2217659,40.1543487
Ambler,-75.2226748,40.1543365
Ambler,-75.2136076,40.1574335
Ambler,-75.22260059,40.15414752
